YI,Health Care,Medical/Nursing Services,471.99,5.36,7.709,0.695256,10,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
PIH,Finance,Property-Casualty Insurers,31.81,5.2,5.131,1.01347,52,0.5,35,0.32,-0.05,-0.41,0.08,-0.04,-0.493151,48,\N,2019-07-05 16:55:27
PIHPP,Finance,Property-Casualty Insurers,17.33,24.991,23.623,1.05792,67,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
TURN,Finance,Finance/Investors Services,61,1.94,1.928,1.00626,49,85.36,99,0.06,-0.2,-0.04,-0.2,-0.1,\N,37,\N,2019-07-05 16:55:58
FLWS,Consumer Services,Other Specialty Stores,1220,19.26,17.541,1.098,77,1.02,46,-0.13,-0.13,-0.27,1.04,-0.13,0,67,\N,2019-07-05 16:56:12
BCOW,Finance,Banks,45.35,9.25,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
FCCY,Finance,Savings Institutions,151.33,18.24,18.733,0.973676,39,3.05,69,0.34,0.22,0.46,0.38,0.39,0.208333,78,\N,2019-07-05 16:56:40
SRCE,Finance,Major Banks,1140,46.65,45.533,1.02453,57,4.13,78,0.73,0.84,0.76,0.82,0.86,1,100,\N,2019-07-05 16:56:55
VNET,Technology,Computer Software: Programming\, Data Processing,853.06,8.05,8.291,0.970951,39,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
TWOU,Technology,Computer Software: Prepackaged Software,2260,38.51,55.237,0.697182,10,5.5,84,-0.28,-0.33,-0.17,0.08,-0.37,-0.2,56,\N,2019-07-05 16:57:08
QFIN,Finance,Finance: Consumer Services,1540,11.44,15.529,0.736666,12,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
JOBS,Technology,Diversified Commercial Services,4380,75.96,74.496,1.01965,55,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
JFK,Finance,Business Services,73.61,9.88,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
JFKKU,Finance,Business Services,51.6,10.85,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
JFKKW,Finance,Business Services,1.15,0.4,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
EGHT,Technology,EDP Services,2240,24.7,21.454,1.15132,87,6.76,87,-0.14,-0.16,-0.23,-0.25,-0.29,\N,12,\N,2019-07-06 07:12:02
AAON,Capital Goods,Industrial Machinery/Components,2490,49.71,43.558,1.14122,85,5.87,85,0.08,0.22,0.27,0.24,0.21,0.684211,92,\N,2019-07-05 16:57:43
ABEO,Health Care,Major Pharmaceuticals,226.64,4.56,6.857,0.665041,9,93.83,99,-0.18,-0.25,-0.34,-0.42,-0.39,\N,37,\N,2019-07-05 16:57:58
ABIL,Capital Goods,Telecommunications Equipment,7.4,0.929,1.622,0.572874,6,13.2,94,0.01,-1.23,-1.09,-0.83,-0.53,\N,37,\N,2019-07-05 16:58:12
ABMD,Health Care,Medical/Dental Instruments,11600,261.47,297.687,0.87834,23,15.4,95,0.8,1.95,1.09,0.97,1.6,0.695652,92,\N,2019-07-05 16:58:25
AXAS,Energy,Oil & Gas Production,178.47,1.07,1.232,0.86841,22,1.25,50,0.06,-0.06,0.01,0.33,-0.15,-0.4375,49,\N,2019-07-05 16:58:38
ACIU,Health Care,Major Pharmaceuticals,355.38,5.37,5.795,0.926667,29,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACIA,Technology,Semiconductors,1820,48.14,49.921,0.964325,37,5.21,83,-0.23,-0.08,0.19,0.22,0.17,0.888889,96,\N,2019-07-05 16:58:53
ACTG,Miscellaneous,Multi-Sector Companies,144.69,2.89,3.1,0.932189,30,1.95,59,-0.63,-0.57,-0.67,-0.23,-0.09,\N,37,\N,2019-07-05 16:59:05
ACHC,Health Care,Medical Specialities,3050,34.62,30.376,1.13971,85,1.01,46,0.58,0.67,0.53,-3.8,0.34,-0.0536913,63,\N,2019-07-05 16:59:19
ACAD,Health Care,Major Pharmaceuticals,3710,27.14,24.344,1.11483,81,16.15,95,-0.44,-0.51,-0.5,-0.5,-0.59,\N,37,\N,2019-07-05 16:59:34
ACAM,Finance,Business Services,372.42,9.75,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACST,Health Care,Major Pharmaceuticals,82.04,1.42,0.976,1.45499,99,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments,1080,23.47,19.112,1.22804,93,189.15,100,-0.37,-0.43,-0.41,-0.41,-0.4,\N,37,\N,2019-07-05 16:59:51
XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic ,2090,41.82,42.641,0.980755,41,161.4,100,-0.58,-0.63,-0.63,-0.75,-0.74,\N,37,\N,2019-07-05 17:00:04
ARAY,Health Care,Medical/Dental Instruments,333.61,3.81,4.257,0.894992,25,0.8,41,-0.1,-0.01,-0.11,-0.05,-0.01,\N,37,\N,2019-07-05 17:00:19
ACRX,Health Care,Major Pharmaceuticals,172.82,2.45,2.929,0.83633,19,93.27,99,-0.23,-0.2,-0.21,-0.18,-0.17,\N,37,\N,2019-07-05 17:00:34
ACER,Health Care,Major Pharmaceuticals,41.56,3.41,20.703,0.164712,3,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Subst,16.2,2.01,2.731,0.735996,12,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACHN,Health Care,Major Pharmaceuticals,377.33,2.71,2.681,1.01065,51,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACIW,Technology,Computer Software: Prepackaged Software,3580,34.86,31.81,1.09589,77,3.8,75,-0.17,-0.13,0.13,0.74,-0.22,-0.0520833,63,\N,2019-07-05 17:00:51
ACRS,Health Care,Major Pharmaceuticals,181.6,2.36,5.947,0.396855,4,6.58,87,-0.98,-1.01,-1.06,-0.99,-0.91,\N,37,\N,2019-07-05 17:01:05
ACMR,Technology,Industrial Machinery/Components,248.46,16.48,14.448,1.14063,85,3.12,70,-0.18,0.18,0.21,0.13,0.1,0.717949,93,\N,2019-07-05 17:01:19
ACNB,Finance,Major Banks,251.67,38.1,37.572,1.01404,52,3.65,74,0.7,0.78,0.86,0.75,0.83,0.8125,95,\N,2019-07-05 17:01:33
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic ,339.58,7.36,12.493,0.589138,6,0.87,43,-0.18,0.98,-0.29,0.2,-1,-0.414141,50,\N,2019-07-05 17:01:46
ACTT,Finance,Business Services,291.9,9.8,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACTTW,Finance,Business Services,15.01,0,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ATVI,Technology,Computer Software: Prepackaged Software,35390,48.15,45.674,1.05422,66,4.94,82,0.65,0.52,0.34,0.84,0.58,-0.14,59,\N,2019-07-05 17:02:01
ADMS,Health Care,Major Pharmaceuticals,161.62,6,7.33,0.818515,17,3.78,75,-1.35,-1.26,-1.22,-1.06,-1.08,\N,36,\N,2019-07-05 17:02:14
ADMP,Health Care,Major Pharmaceuticals,59.78,1.28,2.21,0.579105,6,3.43,72,-0.23,-0.29,-0.21,-0.28,-0.19,\N,36,\N,2019-07-05 17:02:28
