YI,Health Care,Medical/Nursing Services,471.99,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PIH,Finance,Property-Casualty Insurers,31.81,\N,\N,0.5,\N,0.32,-0.05,-0.41,0.08,-0.04,\N,\N,\N,2019-07-05 16:55:27
PIHPP,Finance,Property-Casualty Insurers,17.33,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TURN,Finance,Finance/Investors Services,61,\N,\N,85.36,\N,0.06,-0.2,-0.04,-0.2,-0.1,\N,\N,\N,2019-07-05 16:55:58
FLWS,Consumer Services,Other Specialty Stores,1220,\N,\N,1.02,\N,-0.13,-0.13,-0.27,1.04,-0.13,\N,\N,\N,2019-07-05 16:56:12
BCOW,Finance,Banks,45.35,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
FCCY,Finance,Savings Institutions,151.33,\N,\N,3.05,\N,0.34,0.22,0.46,0.38,0.39,\N,\N,\N,2019-07-05 16:56:40
SRCE,Finance,Major Banks,1140,\N,\N,4.13,\N,0.73,0.84,0.76,0.82,0.86,\N,\N,\N,2019-07-05 16:56:55
VNET,Technology,Computer Software: Programming\, Data Processing,853.06,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TWOU,Technology,Computer Software: Prepackaged Software,2260,\N,\N,5.5,\N,-0.28,-0.33,-0.17,0.08,-0.37,\N,\N,\N,2019-07-05 16:57:08
QFIN,Finance,Finance: Consumer Services,1540,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
JOBS,Technology,Diversified Commercial Services,4380,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
JFK,Finance,Business Services,73.61,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
JFKKU,Finance,Business Services,51.6,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
JFKKW,Finance,Business Services,1.15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
EGHT,Technology,EDP Services,2240,\N,\N,6.76,\N,-0.14,-0.16,-0.23,-0.25,-0.29,\N,\N,\N,2019-07-06 07:12:02
AAON,Capital Goods,Industrial Machinery/Components,2490,\N,\N,5.87,\N,0.08,0.22,0.27,0.24,0.21,\N,\N,\N,2019-07-05 16:57:43
ABEO,Health Care,Major Pharmaceuticals,226.64,\N,\N,93.83,\N,-0.18,-0.25,-0.34,-0.42,-0.39,\N,\N,\N,2019-07-05 16:57:58
ABIL,Capital Goods,Telecommunications Equipment,7.4,\N,\N,13.2,\N,0.01,-1.23,-1.09,-0.83,-0.53,\N,\N,\N,2019-07-05 16:58:12
ABMD,Health Care,Medical/Dental Instruments,11600,\N,\N,15.4,\N,0.8,1.95,1.09,0.97,1.6,\N,\N,\N,2019-07-05 16:58:25
AXAS,Energy,Oil & Gas Production,178.47,\N,\N,1.25,\N,0.06,-0.06,0.01,0.33,-0.15,\N,\N,\N,2019-07-05 16:58:38
ACIU,Health Care,Major Pharmaceuticals,355.38,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACIA,Technology,Semiconductors,1820,\N,\N,5.21,\N,-0.23,-0.08,0.19,0.22,0.17,\N,\N,\N,2019-07-05 16:58:53
ACTG,Miscellaneous,Multi-Sector Companies,144.69,\N,\N,1.95,\N,-0.63,-0.57,-0.67,-0.23,-0.09,\N,\N,\N,2019-07-05 16:59:05
ACHC,Health Care,Medical Specialities,3050,\N,\N,1.01,\N,0.58,0.67,0.53,-3.8,0.34,\N,\N,\N,2019-07-05 16:59:19
ACAD,Health Care,Major Pharmaceuticals,3710,\N,\N,16.15,\N,-0.44,-0.51,-0.5,-0.5,-0.59,\N,\N,\N,2019-07-05 16:59:34
ACAM,Finance,Business Services,372.42,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACST,Health Care,Major Pharmaceuticals,82.04,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments,1080,\N,\N,189.15,\N,-0.37,-0.43,-0.41,-0.41,-0.4,\N,\N,\N,2019-07-05 16:59:51
XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic ,2090,\N,\N,161.4,\N,-0.58,-0.63,-0.63,-0.75,-0.74,\N,\N,\N,2019-07-05 17:00:04
ARAY,Health Care,Medical/Dental Instruments,333.61,\N,\N,0.8,\N,-0.1,-0.01,-0.11,-0.05,-0.01,\N,\N,\N,2019-07-05 17:00:19
ACRX,Health Care,Major Pharmaceuticals,172.82,\N,\N,93.27,\N,-0.23,-0.2,-0.21,-0.18,-0.17,\N,\N,\N,2019-07-05 17:00:34
ACER,Health Care,Major Pharmaceuticals,41.56,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Subst,16.2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACHN,Health Care,Major Pharmaceuticals,377.33,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACIW,Technology,Computer Software: Prepackaged Software,3580,\N,\N,3.8,\N,-0.17,-0.13,0.13,0.74,-0.22,\N,\N,\N,2019-07-05 17:00:51
ACRS,Health Care,Major Pharmaceuticals,181.6,\N,\N,6.58,\N,-0.98,-1.01,-1.06,-0.99,-0.91,\N,\N,\N,2019-07-05 17:01:05
ACMR,Technology,Industrial Machinery/Components,248.46,\N,\N,3.12,\N,-0.18,0.18,0.21,0.13,0.1,\N,\N,\N,2019-07-05 17:01:19
ACNB,Finance,Major Banks,251.67,\N,\N,3.65,\N,0.7,0.78,0.86,0.75,0.83,\N,\N,\N,2019-07-05 17:01:33
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic ,339.58,\N,\N,0.87,\N,-0.18,0.98,-0.29,0.2,-1,\N,\N,\N,2019-07-05 17:01:46
ACTT,Finance,Business Services,291.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACTTW,Finance,Business Services,15.01,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ATVI,Technology,Computer Software: Prepackaged Software,35390,\N,\N,4.94,\N,0.65,0.52,0.34,0.84,0.58,\N,\N,\N,2019-07-05 17:02:01
ADMS,Health Care,Major Pharmaceuticals,161.62,\N,\N,3.78,\N,-1.35,-1.26,-1.22,-1.06,-1.08,\N,\N,\N,2019-07-05 17:02:14
ADMP,Health Care,Major Pharmaceuticals,59.78,\N,\N,3.43,\N,-0.23,-0.29,-0.21,-0.28,-0.19,\N,\N,\N,2019-07-05 17:02:28
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic ,416.81,\N,\N,7.59,\N,-0.24,-0.48,0.06,-0.36,-0.24,\N,\N,\N,2019-07-05 17:02:42
ADUS,Health Care,Medical/Nursing Services,986.19,\N,\N,1.84,\N,0.42,0.36,0.28,0.36,0.36,\N,\N,\N,2019-07-05 17:02:55
AEY,Consumer Services,Office Equipment/Supplies/Services,16.37,\N,\N,0.34,\N,-0.03,-0.15,-0.47,-0.1,-0.12,\N,\N,\N,2019-07-05 17:03:09
IOTS,Technology,Semiconductors,231.22,\N,\N,2.59,\N,-0.05,-0.24,-0.29,-0.23,-0.24,\N,\N,\N,2019-07-05 17:03:24
ADIL,Health Care,Major Pharmaceuticals,18.91,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic ,215.32,\N,\N,13.41,\N,-0.39,-0.35,-0.33,-0.39,-0.28,\N,\N,\N,2019-07-05 17:03:39
ADBE,Technology,Computer Software: Prepackaged Software,140520,\N,\N,14.4,\N,1.33,1.34,1.37,1.36,1.29,\N,\N,\N,2019-07-05 17:03:53
ADOM,Capital Goods,Auto Parts:O.E.M.,22.58,\N,\N,4.67,\N,-0.06,-0.06,-0.02,-0.01,-0.02,\N,\N,\N,2019-07-05 17:04:08
ADTN,Public Utilities,Telecommunications Equipment,736.26,\N,\N,1.32,\N,-0.22,-0.16,0.16,-0.17,0.02,\N,\N,\N,2019-07-05 17:04:23
ADRO,Health Care,Major Pharmaceuticals,143.28,\N,\N,9.82,\N,-0.28,-0.31,-0.29,-0.33,-0.29,\N,\N,\N,2019-07-05 17:04:35
ADES,Basic Industries,Major Chemicals,228.08,\N,\N,6.05,\N,0.37,0.75,0.28,0.36,0.78,\N,\N,\N,2019-07-05 17:04:49
AEIS,Capital Goods,Industrial Machinery/Components,2060,\N,\N,3.23,\N,1.16,1.17,0.89,0.5,0.4,\N,\N,\N,2019-07-05 17:05:04
AMD,Technology,Semiconductors,31210,\N,\N,5.59,\N,0.08,0.11,0.09,0.04,0.01,\N,\N,\N,2019-07-05 17:05:18
ADXS,Health Care,Major Pharmaceuticals,17.65,\N,\N,0.75,\N,-4.05,-4.05,-4.35,2.7,-1.59,\N,\N,\N,2019-07-05 17:05:32
